,Article Number,Article Title,Part,Part Title
240,222,Transfer of a Judge from one High Court to another.,PART VI,THE STATES  CHAPTER I.  GENERAL
241,223,Appointment of acting Chief Justice.,PART VI,THE STATES  CHAPTER I.  GENERAL
242,224,Appointment of additional and acting Judges.,PART VI,THE STATES  CHAPTER I.  GENERAL
243,224A,Appointment of retired Judges at sittings of High Courts.,PART VI,THE STATES  CHAPTER I.  GENERAL
244,225,Jurisdiction of existing High Cour ts.,PART VI,THE STATES  CHAPTER I.  GENERAL
245,226,Power of High Courts to issue certain writs.   [,PART VI,THE STATES  CHAPTER I.  GENERAL
246,226A,Constitutional validity of Central laws not to be considered in  proceedings under article,PART VI,THE STATES  CHAPTER I.  GENERAL
247,227,Power of superintendence over all courts by the High Court.,PART VI,THE STATES  CHAPTER I.  GENERAL
248,228,Transfer of cert ain cases to High Court.   [,PART VI,THE STATES  CHAPTER I.  GENERAL
249,228A,Special provisions as to disposal of questions relating to  constitutional validity of State laws. Omitted.],PART VI,THE STATES  CHAPTER I.  GENERAL
250,229,Officers and servants and the expenses of High Courts.,PART VI,THE STATES  CHAPTER I.  GENERAL
251,230,Extension of jurisdiction of High Courts to Union territories.,PART VI,THE STATES  CHAPTER I.  GENERAL
252,231,Establishment of a common High Court for two or more States.  [,PART VI,THE STATES  CHAPTER I.  GENERAL
253,232,"Articles 230, 231 and 232 substituted by articles 230 and 231].   CHAPTER VI. SUBORDINATE COURTS",PART VI,THE STATES  CHAPTER I.  GENERAL
254,233,Appointment of district judges.,PART VI,THE STATES  CHAPTER I.  GENERAL
255,233A,"Validation of appointments of, and judgments, etc., delivered by,  certain district judges.",PART VI,THE STATES  CHAPTER I.  GENERAL
256,234,Recruitment of persons other than district judges to the judicial  service.,PART VI,THE STATES  CHAPTER I.  GENERAL
257,235,Control over subordinate courts.,PART VI,THE STATES  CHAPTER I.  GENERAL
258,236,Interpretation.,PART VI,THE STATES  CHAPTER I.  GENERAL
259,237,Application of the provisions of this Chapter to certain class or  classes of magistrates.   [,PART VI,THE STATES  CHAPTER I.  GENERAL
260,238,Omitted.],PART VII,Omitted]   THE STATES IN PART B OF THE FIRST SCHEDULE    [
261,239,Administration of Union territories.,PART VIII,THE UNION TERRITORIES
262,239A,Creation of local Legislatures or Council of Ministers or both for  certain Union territories.,PART VIII,THE UNION TERRITORIES
263,239AA,Special provisions with respect to Delhi.,PART VIII,THE UNION TERRITORIES
264,239AB,Provision in case of failure of constitutional machinery.,PART VIII,THE UNION TERRITORIES
265,239B,Power of administrator to promulgate Ordinances during recess  of Legislature.,PART VIII,THE UNION TERRITORIES
266,240,Power of President to make regulations for certain Union  territories.,PART VIII,THE UNION TERRITORIES
267,241,High Courts for Union territories.  [,PART VIII,THE UNION TERRITORIES
268,242,Coorg.Omitted.],PART VIII,THE UNION TERRITORIES
269,243,Definitions.,PART IX,THE PANCHAYATS
270,243A,Gram Sabha.,PART IX,THE PANCHAYATS
271,243B,Constitution of Panchayats.,PART IX,THE PANCHAYATS
272,243C,Composition of Panchayats.,PART IX,THE PANCHAYATS
273,243D,Reservation of seats.,PART IX,THE PANCHAYATS
274,243E,"Duration of Panchayats, etc.",PART IX,THE PANCHAYATS
275,243F,Disqualifications for membership.,PART IX,THE PANCHAYATS
276,243G,"Powers, authority and responsibilities of Panchayats.",PART IX,THE PANCHAYATS
277,243H,"Powers to impose taxes by, and Funds of, the Panchayats.",PART IX,THE PANCHAYATS
278,243J,Audit of accounts of Panchayats.,PART IX,THE PANCHAYATS
279,243K,Elections to the Panchayats.,PART IX,THE PANCHAYATS
280,243L,Application to Union  territories.,PART IX,THE PANCHAYATS
281,243M,Part not to apply to certain areas.,PART IX,THE PANCHAYATS
282,243N,Continuance of existing laws and Panchayats.,PART IX,THE PANCHAYATS
283,243P,Definitions.,PART IXA,THE MUNICIPALITIES
284,243Q,Constitution of Municipalities.,PART IXA,THE MUNICIPALITIES
285,243R,Composition of Municipalities.,PART IXA,THE MUNICIPALITIES
286,243S,"Constitution and composition of Wards Committees, etc.",PART IXA,THE MUNICIPALITIES
287,243T,Reservation of seats.,PART IXA,THE MUNICIPALITIES
288,243U,"Duration of Municipalities, etc.",PART IXA,THE MUNICIPALITIES
289,243V,Disqualifications for membership.,PART IXA,THE MUNICIPALITIES
290,243W,"Powers, authority and responsibilities of Municipalities, etc.",PART IXA,THE MUNICIPALITIES
291,243X,"Power to impose taxes by, and Funds of, the Municipalities.",PART IXA,THE MUNICIPALITIES
292,243Y,Finance Commission.,PART IXA,THE MUNICIPALITIES
293,243Z,Audit of accounts of Municipalities.,PART IXA,THE MUNICIPALITIES
294,243ZA,Elections to the Municipalities.,PART IXA,THE MUNICIPALITIES
295,243ZB,Application to Union territories.,PART IXA,THE MUNICIPALITIES
296,243ZC,Part not to apply to certain areas.,PART IXA,THE MUNICIPALITIES
297,243ZD,Committee for district planning.,PART IXA,THE MUNICIPALITIES
298,243ZE,Committee for Metropolitan planning.,PART IXA,THE MUNICIPALITIES
299,243ZF,Continuance of existing laws and Municipalities.,PART IXA,THE MUNICIPALITIES
300,243ZG,Bar to interference by courts in electoral matters.,PART IXA,THE MUNICIPALITIES
301,243ZH,Definitions.,PART IXB,THE CO-OPERATIVE SOCIETIES
302,243ZJ,Number and term of members of board and its office bearers.,PART IXB,THE CO-OPERATIVE SOCIETIES
303,243ZK,Election of members of board.,PART IXB,THE CO-OPERATIVE SOCIETIES
304,243ZL,Supersession and suspension of board and interim management.,PART IXB,THE CO-OPERATIVE SOCIETIES
305,243ZM,Audit of accounts of co-operative societies.,PART IXB,THE CO-OPERATIVE SOCIETIES
306,243ZN,Convening of general body meetings.,PART IXB,THE CO-OPERATIVE SOCIETIES
307,243ZP,Returns.,PART IXB,THE CO-OPERATIVE SOCIETIES
308,243ZQ,Offences and penalties.,PART IXB,THE CO-OPERATIVE SOCIETIES
309,243ZR,Application to multi-State co-operative societies.,PART IXB,THE CO-OPERATIVE SOCIETIES
310,243ZS,Application to Union territories.,PART IXB,THE CO-OPERATIVE SOCIETIES
311,243ZT,Continuance of existing laws.,PART IXB,THE CO-OPERATIVE SOCIETIES
312,244,Administration of Scheduled Areas and Tribal Areas.,PART X,THE SCHEDULED AND TRIBAL AREAS
313,244A,Formation of an autonomous State comprising certain tribal  areas in Assam and creation of local Legislature or Council of  Ministers or both therefor.,PART X,THE SCHEDULED AND TRIBAL AREAS
314,245,Extent of laws made by Parliament and by the Legislatures of  States.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
315,246,Subject-matter of laws made by Parliament and by the  Legislatures of States.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
316,246A,Special provision with respect to goods and services tax.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
317,247,Power of Parliament to provide for the establishment of certain  additional courts.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
318,248,Residuary powers of legislation.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
319,249,Power of Parliament to legislate with respect to a matter in the  State List in the national interest.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
320,250,Power of Parliament to legislate with respect to any matter in the  State List if a Proclamation of Emergency is in operation.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
321,251,Inconsistency between laws made by Parliament under articles,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
322,252,Power of Parliament to legislate for two or more States by  consent and adoption of such legislation by any other State.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
323,253,Legislation for giving effect to international agreements.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
324,254,Inconsistency between laws made by Parliament and laws made  by the Legislatures of States.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
325,255,Requirements as to recommendations and previous sanctions to  be regarded as matters of procedure only.   CHAPTER II.  ADMINISTRATIVE RELATIONS  General,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
326,256,Obligation of States and the Union.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
327,257,Control of the Union over States in certain cases.    [,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
328,257A,Assistance to States by deployment of armed forces or other  forces of the Union. Omitted.],PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
329,258,"Power of the Union to confer powers, etc., on States in certain  cases.",PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
330,258A,Power of the States to entrust functions to the Union.     [,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
331,259,Armed Forces in States in Part B of the First  Schedule. Omitted.],PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
332,260,Jurisdiction of the Union in relation to territories outside India.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
333,261,"Public acts, records and judicial proceedings.   Disputes relating to Waters",PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
334,262,Adjudication of disputes relating to waters of  inter-State rivers  or river valleys.   Co-ordination between States,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
335,263,Provisions with respect to an inter-State Council.,PART XI,RELATIONS BETWEEN THE UNION AND THE  STATES  CHAPTER I. LEGISLATIVE  RELATIONS  Distribution of Legislative Powers
336,264,Interpretation.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
337,265,Taxes not to be imposed save by authority of law.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
338,266,Consolidated Funds and public accounts of India and of the  States.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
339,267,Contingency Fund.   Distribution of Revenues between the Union and the States,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
340,268,Duties levied by the Union but collected and appropriated by the  States.   [,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
341,268A,Service tax levied by Union and collected by the Union and the  States.Omitted.],PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
342,269,Taxes levied and collected by the Union but assigned to the  States.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
343,269A,Levy and collection of goods and services tax in course of inter- State trade or commerce.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
344,270,Taxes levied and  distributed between the Union and the States.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
345,271,Surcharge on certain duties and taxes for purposes of the Union.  [,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
346,272,Taxes which are levied and collected by the Union and may be  distributed between the Union and the States. Omitted.],PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
347,273,Grants in lieu of export duty on jute and jute products.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
348,274,Prior recommendation of President required to Bills affecting  taxation in which States are interested.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
349,275,Grants from the Union to certain States.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
350,276,"Taxes on professions, trades, callings and employments.",PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
351,277,Savings.  [,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
352,278,Agreement with States in Part B of the First Schedule with  regard to certain financial matters. Omitted.],PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
353,279,"Calculation of  “net proceeds”, etc.",PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
354,279A,Goods and Services Tax Council.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
355,280,Finance Commission.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
356,281,Recommendations of the Finance Commission.   Miscellaneous Financial Provisions,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
357,282,Expenditure defrayable by the Union or a State out of its  revenues.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
358,283,"Custody, etc., of Consolidated Funds, Contingency Funds and  moneys credited to the public accounts.",PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
359,284,Custody of suitors’  deposits and other moneys received by  public servants and courts.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
360,285,Exemption of property of the Union from State taxation.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
361,286,Restrictions as to imposition of tax on the sale or purchase of  goods.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
362,287,Exemption from taxes on electricity.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
363,288,Exemption from taxation by States in respe ct of water or  electricity in certain cases.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
364,289,Exemption of property and income of a State from Union  taxation.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
365,290,Adjustment in respect of certain expenses and pensions.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
366,290A,Annual payment to certain Devaswom Funds.   [,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
367,291,Privy purse sums of Ru lers.Omitted.]   CHAPTER II.  BORROWING,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
368,292,Borrowing by the Government of India.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
369,293,Borrowing by States.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
370,294,"Succession to property, assets, rights, liabilities and  obligations  in certain cases.",PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
371,295,"Succession to property, assets, rights, liabilities and obligations  in other cases.",PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
372,296,Property accruing by escheat or laps e or as bona vacantia.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
373,297,Things of value within territorial waters or continental s helf and  resources of the exclusive economic zone to vest in the Union.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
374,298,"Power to carry on trade, etc.",PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
375,299,Contracts.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
376,300,Suits and proceedings.    CHAPTER IV.  RIGHT  TO PROPERTY,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
377,300A,Persons not to be deprived of property save by authori ty of law.,PART XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS  CHAPTER I. FINANCE  General"
378,301,"Freedom of trade, commerce and intercourse.",PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
379,302,"Power of Parliament to impose restrictions on trade, commerce  and intercourse.",PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
380,303,Restrictions on the legislat ive powers of the Union and of the  States with regard to trade and commerce.,PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
381,304,"Restrictions on trade, commerce and intercourse among States.",PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
382,305,Saving of existing laws and laws providing for State monopolies.  [,PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
383,306,Power  of  certain  States  in  Part B  of  the  First  Schedule to  impose  restrictions  on  trade  and  commerce. Omitted],PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
384,307,Appointment of authority for carrying out the purposes of  articles,PART XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA"
385,308,Interpretation.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
386,309,Recruitment and conditions of service of persons serving the  Union or a State.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
387,310,Tenure of office of persons serving the Union or a State.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
388,311,"Dismissal, removal or reduction in rank of persons employed in  civil capacities under the Union or a State.",PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
389,312,All-India services.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
390,312A,Power of Parliament to vary or revoke conditions of service of  officers of certain services.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
391,313,Transitional provisions.  [,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
392,314,Provision for protection of existing officers of certain services.   Omitted.]   CHAPTER II.—PUBLIC SERVICE COMMISSIONS,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
393,315,Public Service Commissions for the Union and for the States.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
394,316,Appointment and term of office of members.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
395,317,Removal and suspension of a member of a Public Service  Commission.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
396,318,Power to make regulations as to conditions of service of  members and staff of the Commission.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
397,319,Prohibition as to the holding of offices by members of  Commission on ceasing to be such members.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
398,320,Functions of Public Service Commissions.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
399,321,Power to extend functions of Public Service Commissions.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
400,322,Expenses of Public Service Commissions.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
401,323,Reports of Public Service Commissions.,PART XIV,SERVICES UNDER THE UNION AND THE STATES  CHAPTER I.  SERVICES
402,323A,Administrative tribunals.,PART XIVA,TRIBUNALS
403,323B,Tribunals for other matters.,PART XIVA,TRIBUNALS
404,324,"Superintendence, direction and control of elections to be vested  in an Election Commission.",PART XV,ELECTIONS
405,325,"No person to be ineligible for inclusion in, or to claim to be  included in a special, electoral roll on grounds of religion, race,  caste or sex.",PART XV,ELECTIONS
406,326,Elections to the House of the People and to the Legislative  Assemblies of States to be on the basis of adult suffrage.,PART XV,ELECTIONS
407,327,Power of Parliament to make provision with respect to elections  to Legislatures.,PART XV,ELECTIONS
408,328,Power of Legislature of a State to make provision with respect to  elections to such Legislature.,PART XV,ELECTIONS
409,329,Bar to interference by courts in electoral matters.    [,PART XV,ELECTIONS
410,329A,Special provision as to elections to Parliament in the case of  Prime Minister and Speaker. Omitted.],PART XV,ELECTIONS
411,330,Reservation of seats for Scheduled Castes and Scheduled Tribes  in the House of the People.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
412,331,Representation of the Anglo-Indian community in the House of  the People.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
413,332,Reservation of seats for Scheduled Castes and Scheduled Tribes  in the Legislative Assemblies of the States.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
414,333,Representation of the Anglo-Indian community in the  Legislative Assemblies of the States.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
415,334,Reservation of seats and special representation to cease after  certain period.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
416,335,Claims of Scheduled Castes and Scheduled Tribes to services  and posts.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
417,336,Special provision for Anglo-Indian community in certain  services.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
418,337,Special provision with respect to educational grants for the  benefit of Anglo-Indian Community.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
419,338,National Commission for Scheduled Castes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
420,338A,National Commission for Scheduled Tribes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
421,338B,National Commission for Backward Classes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
422,339,Control of the Union over the administration of Scheduled Areas  and the welfare of Scheduled Tribes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
423,340,Appointment of  a Commission to investigate the conditions of  backward classes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
424,341,Scheduled Castes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
425,342,Scheduled Tribes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
426,342A,Socially and educationally backward classes.,PART XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES
427,343,Official language of the Union.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
428,344,Commission and Committee of Parliament on official language.   CHAPTER II.  REGIONAL LANGUAGES,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
429,345,Official language or languages of a State.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
430,346,Official language for communication between one State and  another or between a State and the Union.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
431,347,"Special provision relating to language spoken by a section of the  population of a State.   CHAPTER III. LANGUAGE OF THE SUPREME COURT,  HIGH COURTS, ETC.",PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
432,348,"Language to be used in the Supreme Court and in the High  Courts and for Acts, Bills, etc.",PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
433,349,Special procedure for enactment of certain laws relating to  language.   CHAPTER IV. SPECIAL DIRECTIVES,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
434,350,Language to be used in representations for redress of grievances.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
435,350A,Facilities for instruction in mother -tongue at primary stage.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
436,350B,Special Officer for linguistic minorities.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
437,351,Directive for development of the Hindi language.,PART XVII,OFFICIAL LANGUAGE  CHAPTER I.—LANGUAGE OF THE UNION
438,352,Proclamation of Emergency.,PART XVIII,EMERGENCY PROVISIONS
439,353,Effect of Proclamation of Emergency.,PART XVIII,EMERGENCY PROVISIONS
440,354,Application of provisions relating to distribution of revenues  while a Proclamation of Emergency is in operation.,PART XVIII,EMERGENCY PROVISIONS
441,355,Duty of the Union to protect States against external aggression  and internal disturbance.,PART XVIII,EMERGENCY PROVISIONS
442,356,Provisions in case of failure of constitutional machinery in  States.,PART XVIII,EMERGENCY PROVISIONS
443,357,Exercise of legislative powers under Proclamation issued under  article,PART XVIII,EMERGENCY PROVISIONS
444,358,Suspension  of provisions of article 19 during emergencies.,PART XVIII,EMERGENCY PROVISIONS
445,359,Suspension of the enforcement of  the rights conferred by Part III  during emergencies.  [,PART XVIII,EMERGENCY PROVISIONS
446,359A,Application of this Part to the State of Punjab. Omitted.],PART XVIII,EMERGENCY PROVISIONS
447,360,Provisions as to financial emergency.,PART XVIII,EMERGENCY PROVISIONS
448,361,Protection of President and Governors and Rajpramukhs.,PART XIX,MISCELLANEOUS
449,361A,Protection of publication of proceedings of Parliament and State  Legislatures.,PART XIX,MISCELLANEOUS
450,361B,Disqualification for appointment on remunerative political post.   [,PART XIX,MISCELLANEOUS
451,362,Rights and privileges of Rulers of Indian States. Omitted.],PART XIX,MISCELLANEOUS
452,363,"Bar to interference by courts  in disputes arising out of certain  treaties, agreements, etc.",PART XIX,MISCELLANEOUS
453,363A,Recognition granted to Rulers of Indian States to cease and privy  purses to be abolished.,PART XIX,MISCELLANEOUS
454,364,Special provisions as to major ports and aerodromes.,PART XIX,MISCELLANEOUS
455,365,"Effect of failure to comply wit h, or to give effect to, directions  given by the Union.",PART XIX,MISCELLANEOUS
456,366,Definitions.,PART XIX,MISCELLANEOUS
457,367,Interpretation.,PART XIX,MISCELLANEOUS
458,368,Power of Parliament to amend the Constitution and procedure  therefor.,PART XX,AMENDMENT OF THE CONSTITUTION
459,369,Temporary power to Parliament to make laws with respect to  certain matters in the State List as if they were matters in the  Concurrent List.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
460,370,Temporary provisions with respect to the State of Jammu and  Kashmir.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
461,371,Special prov ision with respect to the States of Maharashtra and  Gujarat.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
462,371A,Special provision with respect to the State of Nagaland.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
463,371C,Special provision with respect to the State of Manipur.,PART XXI,"TEMPORARY, TRANSITIONAL AND   SPECIAL PROVISIONS"
