,Article Number,Article Title,Part,Part Title
64,53,Executive power of the Union.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
65,54,Election of President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
66,55,Manner of election of President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
67,56,Term of office of President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
68,57,Eligibility for re-election.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
69,58,Qualifications for election as President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
70,59,Conditions of President’s office.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
71,60,Oath or affirmation by the President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
72,61,Procedure for impeachment of the President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
73,62,Time of holding election to fill vacancy in the office of President  and the term of office of person elected to fill casual vacancy.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
74,63,The Vice-President of India.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
75,64,The Vice-President to be ex officio  Chairman of the Council of  States.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
76,65,"The Vice-President to act as President or to discharge his  functions during casual vacancies in the office, or during the  absence, of President.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
77,66,Election of Vice-President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
78,67,Term of office of Vice-President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
79,68,Time of holding election to fill vacancy in the office of Vice-President  and the term of office of person elected to fill casual vacancy.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
80,69,Oath or affirmation by the Vice-President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
81,70,Discharge of President’s functions in other contingencies.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
82,71,"Matters relating to, or connected with, the election of a President  or Vice-President.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
83,72,"Power of President to grant pardons, etc., and to suspend, remit  or commute sentences in certain cases.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
84,73,Extent of executive power of the Union.   Council of Ministers,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
85,74,Council of Ministers  to aid and advise President .,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
86,75,Other provisions as to Ministers.   The Attorney-General for India,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
87,76,Attorney-General for India.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
88,77,Conduct of business of the Government of India.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
89,78,"Duties of Prime Minister as respects the furnishing of  information to the President, etc.   CHAPTER  II. PARLIAMENT  General",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
90,79,Constitution of Parliament.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
91,80,Composition of the Council of States.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
92,81,Composition of the House of the People.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
93,82,Readjustment after each census.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
94,83,Duration of Houses of Parliament.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
95,84,Qualification for membership of Parliament.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
96,85,"Sessions of Parliament, prorogation and dissolution.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
97,86,Right of President to address and send messages to Houses.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
98,87,Special address by the President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
99,88,Rights of Ministers and Attorney-General as respects Houses.     Officers of Parliament,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
100,89,The Chairman and Deputy Chairman of the Council of States.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
101,90,"Vacation and resignation of, and removal from, the office of  Deputy Chairman.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
102,91,"Power of the Deputy Chairman or other person to perform the  duties of the office of, or to act as, Chairman.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
103,92,The Chairman or the Deputy Chairman not to preside while a  resolution for his removal from office is under consideration.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
104,93,The Speaker and Deputy Speaker of the House of the People.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
105,94,"Vacation and resignation of, and removal from, the offices of  Speaker and Deputy Speaker.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
